timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
,baps,neptune,popop,5,gentle,jinsye,ash,2
,neptune,baps,popop,5,gentle,jinsye,ash,3
,ash,gentle,toph,4,baps,popop,wraith,5
,popop,gentle,jinsye,3,baps,wraith,ash,5
,popop,gentle,jinsye,3,baps,wraith,ash,5
,popop,gentle,jinsye,4,baps,wraith,ash,5
,rxob,pikeman,akil,4,kami,ella,mai,5
,rxob,pikeman,akil,5,kami,ella,mai,1
,kami,ella,toph,5,aster,pikeman,jinsye,0
,kami,ella,aster,3,pikeman,toph,jinsye,5
,kami,ella,aster,2,pikeman,toph,jinsye,5
,kami,toph,katie,4,pikeman,jinsye,aster,5
,kami,toph,katie,5,pikeman,anon,jinsye,3
,kami,toph,katie,5,pikeman,anon,jinsye,3
,pikeman,anon,jinsye,5,kami,ella,akil,2
,pikeman,anon,jinsye,5,kami,ella,akil,3
,toph,anon,jinsye,5,pikeman,akil,ella,1
,toph,anon,jinsye,5,pikeman,akil,ella,3
,akil,toph,ella,5,wraith,anon,katie,2
,toph,ella,katie,2,akil,wraith,anon,5
,neptune,akil,wraith,5,popop,hawk,mai,1
,wraith,akil,ash,5,popop,hawk,mai,1
,popop,akil,ash,5,wraith,hawk,mai,1
,popop,akil,ash,5,wraith,hawk,mai,3
,wraith,akil,ash,1,baps,popop,hawk,5
,popop,danny,hawk,5,kami,shan,ash,1
,popop,danny,hawk,2,akil,shan,ash,5
,popop,danny,hawk,3,akil,shan,ash,5
,pikeman,toph,ash,4,kami,shan,hawk,5
,pikeman,toph,ash,5,kami,shan,hawk,4
,kami,toph,ash,3,shan,pikeman,hawk,5
,kami,toph,anon,5,shan,pikeman,hawk,2
,kami,toph,anon,5,pikeman,shan,hawk,2
,shan,anon,pikeman,4,kami,toph,hawk,5
,gentle,akil,stella,3,kami,ella,ash,5
,gentle,akil,stella,2,kami,ash,rxob,5
,gentle,akil,rxob,5,kami,ella,stella,1
,gentle,danny,akil,5,jib,shan,kami,2
,gentle,danny,akil,5,jib,shan,kami,3
,gentle,danny,hawk,1,jib,kaiferno,shan,5
,gentle,danny,hawk,3,jib,kaiferno,shan,5
,kami,gentle,hawk,5,jib,kaiferno,akil,4
,kami,gentle,hawk,3,jib,kaiferno,akil,5
,kami,gentle,anon,4,jib,shan,akil,5
,kami,gentle,anon,5,jib,shan,hawk,2
,kami,gentle,anon,5,jib,shan,hawk,2
,kami,gentle,anon,4,shan,jib,hawk,5
,kami,toph,ash,5,shan,anon,hawk,4
,kami,toph,ash,4,shan,anon,hawk,5
,jib,toph,ash,1,kami,gentle,hawk,5
,jib,toph,ash,5,kami,gentle,hawk,2
,jib,toph,anon,1,kami,gentle,shan,5
,jib,toph,anon,5,kami,gentle,shan,2
,kami,toph,pikeman,5,aster,gentle,danny,4
,kami,toph,pikeman,3,aster,gentle,danny,5
,gentle,pikeman,stella,4,aster,kaiferno,danny,5
,gentle,pikeman,stella,0,aster,kaiferno,danny,5
,gentle,pikeman,stella,3,aster,toph,kami,5
,gentle,pikeman,ash,3,aster,toph,kami,5
,jib,anon,ash,5,kami,pikeman,akil,3
,jib,anon,ash,5,kami,pikeman,akil,3
,kami,akil,anon,3,pikeman,wraith,ash,5
,kami,akil,anon,3,pikeman,wraith,ash,5
,aster,danny,akil,2,kami,toph,anon,5
,aster,danny,akil,5,kami,toph,anon,4
,aster,toph,akil,5,kami,danny,anon,3
,aster,toph,akil,5,kami,danny,anon,1
,kami,toph,akil,1,aster,danny,anon,5
,kami,toph,akil,2,aster,danny,anon,5
,kami,danny,anon,4,aster,jib,akil,5
,kami,danny,anon,5,aster,jib,akil,4
,aster,akil,toph,5,kami,jib,anon,0
,aster,akil,toph,5,kami,jib,anon,4
,neptune,wraith,popop,4,eri,danny,ash,5
,aster,wraith,popop,5,eri,danny,ash,2
,wraith,popop,danny,5,aster,eri,ash,4
,wraith,popop,danny,1,aster,eri,ash,5
,wraith,popop,danny,4,aster,eri,ash,5
,wraith,popop,danny,3,aster,eri,ash,5
,wraith,popop,danny,5,aster,eri,ash,3
,jib,shan,anon,3,popop,kaiferno,ash,5
,jib,shan,anon,2,popop,kaiferno,ash,5
,jib,kaiferno,stella,5,shan,kami,anon,2
,jib,kaiferno,stella,5,shan,kami,anon,4
,jib,anon,rxob,5,kami,popop,stella,4
,jib,anon,rxob,5,kami,popop,stella,0
,rxob,popop,shan,1,jib,toph,kami,5
,rxob,popop,shan,3,jib,toph,kami,5
,rxob,popop,shan,1,jib,toph,kaiferno,5
,kami,popop,hawk,4,jib,toph,rxob,5
,kami,popop,hawk,5,jib,toph,rxob,4
,jib,popop,ash,1,wraith,shan,baps,5
,jib,popop,ash,4,wraith,shan,baps,5
,jib,popop,baps,5,shan,wraith,ash,3
,jib,popop,baps,5,shan,wraith,ash,1
,jib,popop,toph,5,aster,kaiferno,shan,1
,aster,popop,toph,5,jib,kaiferno,shan,3
,jib,popop,kaiferno,3,gentle,toph,katie,5
,jib,popop,kaiferno,4,gentle,toph,katie,5
,gentle,jib,katie,3,aster,popop,shan,5
,gentle,jib,katie,5,aster,popop,shan,2
,gentle,kaiferno,anon,5,toph,popop,shan,3
,gentle,kaiferno,anon,2,shan,popop,toph,5
,gentle,popop,katie,5,jib,toph,anon,2
,gentle,kaiferno,katie,5,popop,toph,anon,4
,eri,gentle,ash,3,kami,baps,rxob,5
,eri,gentle,ash,5,kami,baps,rxob,2
,rxob,gentle,ash,5,eri,baps,neptune,4
,rxob,gentle,ash,5,eri,baps,neptune,4
,rxob,gentle,popop,5,eri,baps,kami,4
,rxob,gentle,popop,5,eri,baps,kami,3
,gentle,ash,popop,0,kami,baps,wraith,5
,gentle,ash,popop,1,kami,baps,wraith,5
,kami,popop,katie,0,gentle,wraith,ash,5
,kami,popop,katie,2,gentle,wraith,ash,5
,kami,baps,ash,5,gentle,popop,katie,0
,kami,baps,ash,5,gentle,popop,katie,2
,baps,eri,ash,5,gentle,popop,katie,3
,baps,popop,eri,5,kami,gentle,katie,0
,baps,popop,eri,5,kami,gentle,katie,0
,baps,popop,katie,3,eri,gentle,kami,5
,shan,danny,ash,5,jib,ella,akil,3
,shan,danny,ash,5,jib,ella,akil,3
,shan,toph,stella,3,jib,ella,akil,5
,shan,toph,stella,5,jib,ella,akil,3
,jib,wraith,brendix,5,shan,ella,ash,2
,jib,wraith,brendix,5,shan,ella,ash,4
,wraith,akil,anon,2,ash,toph,ella,5
,wraith,akil,anon,4,ash,toph,ella,5
,wraith,ella,ash,5,kami,anon,mai,3
,kami,popop,anon,5,kaiferno,gentle,mai,1
,kami,popop,anon,2,kaiferno,gentle,mai,5
,kami,popop,anon,5,kaiferno,gentle,mai,2
,kami,popop,mai,1,kaiferno,gentle,anon,5
,kami,popop,mai,2,kaiferno,gentle,anon,5
,kami,popop,danny,4,gentle,toph,anon,5
,kami,popop,danny,0,gentle,toph,mai,5
,kami,popop,danny,1,gentle,toph,mai,5
,jib,danny,akil,5,kami,toph,katie,4
,jib,danny,akil,5,kami,toph,katie,4
,jib,wraith,anon,5,kami,toph,katie,1
,kami,wraith,anon,5,jib,toph,katie,3
,kami,wraith,anon,2,jib,toph,katie,5
,jib,toph,stella,5,wraith,akil,anon,2
,jib,toph,stella,5,wraith,akil,anon,1
,toph,akil,stella,5,wraith,anon,katie,2
,toph,akil,stella,5,wraith,anon,katie,4
,toph,anon,katie,5,popop,stella,mai,3
,toph,stella,mai,5,popop,anon,katie,1
,toph,stella,mai,2,popop,anon,katie,5
,gentle,ella,ash,5,kami,baps,popop,2
,gentle,ella,ash,2,kami,baps,popop,5
,eri,gentle,ella,5,kami,popop,baps,3
,eri,gentle,ella,3,kami,popop,baps,5
,eri,gentle,neptune,5,baps,ella,popop,4
,eri,kami,neptune,4,baps,ella,popop,5
,eri,popop,neptune,5,baps,ella,kami,3
,gentle,anon,neptune,5,popop,ella,ash,4
,gentle,anon,neptune,2,popop,ella,ash,5
,gentle,kaiferno,anon,5,kami,ella,ash,3
,gentle,kaiferno,anon,5,kami,ella,ash,4
,rxob,gentle,anon,5,kami,ella,popop,2
,rxob,gentle,anon,0,kami,ella,popop,5
2026-02-28T19:50:14.999000+00:00,baps,neptune,popop,5,gentle,jinsye,ash,2
2026-02-28T19:50:14.999000+00:00,neptune,baps,popop,5,gentle,jinsye,ash,3
2026-02-28T20:00:34.220000+00:00,ash,gentle,toph,4,baps,popop,wraith,5
2026-02-28T20:01:04.055000+00:00,popop,gentle,jinsye,3,baps,wraith,ash,5
2026-02-28T20:04:20.077000+00:00,popop,gentle,jinsye,3,baps,wraith,ash,5
2026-02-28T20:10:16.765000+00:00,popop,gentle,jinsye,4,baps,wraith,ash,5
2026-03-01T00:56:51.564000+00:00,rxob,pikeman,akil,4,kami,ella,mai,5
2026-03-01T00:56:52.034000+00:00,rxob,pikeman,akil,5,kami,ella,mai,1
2026-03-01T02:35:39.525000+00:00,kami,ella,toph,5,aster,pikeman,jinsye,0
2026-03-01T02:41:17.538000+00:00,kami,ella,aster,3,pikeman,toph,jinsye,5
2026-03-01T02:44:18.851000+00:00,kami,ella,aster,2,pikeman,toph,jinsye,5
2026-03-01T02:54:42.003000+00:00,kami,toph,katie,4,pikeman,jinsye,aster,5
2026-03-01T03:00:55.281000+00:00,kami,toph,katie,5,pikeman,anon,jinsye,3
2026-03-01T03:08:53.312000+00:00,kami,toph,katie,5,pikeman,anon,jinsye,3
2026-03-01T03:15:17.237000+00:00,pikeman,anon,jinsye,5,kami,ella,akil,2
2026-03-01T03:19:52.681000+00:00,pikeman,anon,jinsye,5,kami,ella,akil,3
2026-03-01T03:26:51.308000+00:00,toph,anon,jinsye,5,pikeman,akil,ella,1
2026-03-01T03:33:02.021000+00:00,toph,anon,jinsye,5,pikeman,akil,ella,3
2026-03-01T03:39:25.488000+00:00,akil,toph,ella,5,wraith,anon,katie,2
2026-03-01T03:47:26.194000+00:00,toph,ella,katie,2,akil,wraith,anon,5
2026-03-01T18:25:31.335000+00:00,neptune,akil,wraith,5,popop,hawk,mai,1
2026-03-01T18:29:40.731000+00:00,wraith,akil,ash,5,popop,hawk,mai,1
2026-03-01T18:34:22.163000+00:00,popop,akil,ash,5,wraith,hawk,mai,1
2026-03-01T18:41:04.817000+00:00,popop,akil,ash,5,wraith,hawk,mai,3
2026-03-01T19:01:15.480000+00:00,wraith,akil,ash,1,baps,popop,hawk,5
2026-03-01T19:50:05.651000+00:00,popop,danny,hawk,5,kami,shan,ash,1
2026-03-01T20:01:06.977000+00:00,popop,danny,hawk,2,akil,shan,ash,5
2026-03-01T20:01:08.354000+00:00,popop,danny,hawk,3,akil,shan,ash,5
2026-03-02T00:31:00.620000+00:00,pikeman,toph,ash,4,kami,shan,hawk,5
2026-03-02T00:31:01.754000+00:00,pikeman,toph,ash,5,kami,shan,hawk,4
2026-03-02T00:41:09.446000+00:00,kami,toph,ash,3,shan,pikeman,hawk,5
2026-03-02T00:58:09.892000+00:00,kami,toph,anon,5,shan,pikeman,hawk,2
2026-03-02T00:58:16.861000+00:00,kami,toph,anon,5,pikeman,shan,hawk,2
2026-03-02T01:06:00.775000+00:00,shan,anon,pikeman,4,kami,toph,hawk,5
2026-03-02T23:21:00.811000+00:00,gentle,akil,stella,3,kami,ella,ash,5
2026-03-02T23:28:21.964000+00:00,gentle,akil,stella,2,kami,ash,rxob,5
2026-03-02T23:35:14.530000+00:00,gentle,akil,rxob,5,kami,ella,stella,1
2026-03-03T01:09:32.418000+00:00,gentle,danny,akil,5,jib,shan,kami,2
2026-03-03T01:09:32.992000+00:00,gentle,danny,akil,5,jib,shan,kami,3
2026-03-03T01:16:15.214000+00:00,gentle,danny,hawk,1,jib,kaiferno,shan,5
2026-03-03T01:25:18.161000+00:00,gentle,danny,hawk,3,jib,kaiferno,shan,5
2026-03-03T01:32:12.333000+00:00,kami,gentle,hawk,5,jib,kaiferno,akil,4
2026-03-03T01:36:21.298000+00:00,kami,gentle,hawk,3,jib,kaiferno,akil,5
2026-03-03T02:01:50.365000+00:00,kami,gentle,anon,4,jib,shan,akil,5
